Input,Time
1,0.018
2,0.067
3,0.031
4,0.025
5,0.028
6,0.035
7,0.076
8,0.088
9,0.086
10,0.091
11,0.065
12,0.136
13,0.086
14,0.115
15,0.085
16,0.157
17,0.112
18,0.208
19,0.129
20,0.138
21,0.19
22,0.147
23,0.178
24,0.173
25,0.285
26,0.158
27,0.189
28,0.331
29,0.33
30,0.265
31,0.282
32,0.319
33,0.454
34,0.355
35,0.186
36,0.217
37,0.229
38,0.211
39,0.244
40,0.253
41,0.428
42,0.245
43,0.238
44,0.235
45,0.252
46,0.269
47,0.275
48,0.263
49,0.37
50,0.307
51,0.475
52,0.271
53,0.328
54,0.555
55,0.369
56,0.342
57,0.347
58,0.533
59,0.377
60,0.329
61,0.492
62,0.384
63,0.411
64,0.413
65,0.919
66,0.422
67,0.428
68,0.413
69,0.347
70,0.999
71,0.378
72,0.384
73,0.383
74,0.394
75,0.822
76,0.461
77,1.357
78,0.453
79,0.399
80,0.527
81,0.42
82,0.821
83,0.596
84,0.557
85,1.059
86,0.812
87,0.466
88,0.46
89,0.505
90,0.527
91,0.773
92,0.537
93,0.628
94,0.574
95,0.58
96,1.366
97,0.664
98,0.506
99,1.071
100,0.505
101,0.682
102,0.56
103,1.247
104,0.639
105,0.562
106,0.552
107,0.565
108,0.631
109,0.811
110,0.596
111,0.709
112,1.115
113,0.632
114,0.871
115,0.72
116,0.713
117,0.791
118,1.599
119,1.325
120,1.369
121,1.41
122,1.295
123,1.514
124,1.9
125,0.848
126,1.6
127,1.432
128,0.824
129,1.113
130,1.033
131,1.796
132,1.279
133,0.933
134,1.011
135,2.023
136,0.963
137,0.949
138,0.915
139,0.943
140,1.193
141,1.166
142,0.759
143,0.935
144,1.969
145,1.128
146,0.834
147,0.765
148,1.07
149,0.773
150,0.796
151,1.741
152,0.817
153,2.953
154,1.143
155,1.317
156,0.905
157,3.646
158,0.889
159,0.93
160,0.943
161,0.856
162,3.405
163,0.824
164,1.772
165,0.957
166,1.939
167,0.858
168,0.908
169,1.049
170,1.028
171,0.944
172,1.029
173,1.04
174,0.886
175,1.003
176,0.919
177,2.031
178,0.908
179,1.02
180,0.945
181,0.925
182,0.927
183,0.957
184,1.054
185,0.93
186,0.909
187,0.959
188,0.934
189,0.95
190,0.999
191,1.007
192,1.414
193,1.022
194,2.416
195,1.034
196,1.189
197,1.011
198,1.015
199,1.377
200,0.981
201,1.033
202,1.095
203,1.197
204,1.1
205,1.045
206,0.989
207,1.229
208,1.093
209,1.095
210,1.17
211,1.178
212,1.175
213,1.605
214,1.067
215,1.233
216,2.687
217,1.208
218,1.121
219,1.256
220,1.09
221,1.836
222,1.229
223,1.208
224,1.556
225,1.577
226,1.208
227,1.619
228,2.723
229,1.238
230,1.421
231,1.274
232,1.551
233,3.501
234,3.599
235,1.364
236,1.396
237,3.05
238,1.44
239,1.757
240,2.815
241,1.254
242,1.332
243,1.301
244,3.42
245,1.373
246,1.397
247,1.872
248,2.302
249,1.507
250,4.264
251,1.274
252,1.241
253,4.352
254,1.446
255,1.934
256,1.518
257,1.407
258,4.666
259,1.479
260,1.416
261,1.403
262,2.15
263,1.467
264,1.441
265,3.145
266,1.607
267,1.5
268,2.126
269,1.625
270,1.474
271,4.123
272,1.414
273,1.55
274,1.469
275,1.543
276,2.765
277,3.386
278,1.529
279,2.048
280,1.875
281,3.012
282,6.287
283,1.711
284,2.053
285,2.285
286,1.637
287,3.748
288,1.584
289,1.655
290,1.732
291,2.489
292,1.797
293,1.662
294,1.676
295,1.72
296,2.458
297,1.755
298,1.577
299,1.807
300,3.061
301,1.895
302,1.756
303,1.852
304,1.714
305,1.719
306,3.006
307,4.163
308,1.719
309,1.553
310,1.736
311,1.72
312,1.933
313,2.792
314,1.762
315,1.727
316,1.879
317,1.884
318,2.677
319,1.83
320,1.84
321,2.064
322,1.721
323,4.681
324,2.03
325,1.926
326,1.952
327,1.852
328,1.863
329,1.845
330,4.63
331,1.781
332,1.737
333,2.075
334,1.81
335,4.372
336,1.87
337,1.972
338,1.965
339,1.83
340,1.87
341,4.24
342,1.846
343,1.995
344,1.778
345,1.895
346,1.895
347,3.575
348,1.963
349,2.076
350,1.863
351,1.837
352,2.288
353,3.787
354,3.925
355,2.599
356,1.973
357,2.231
358,2.035
359,2.278
360,4.997
361,3.829
362,1.94
363,2.255
364,2.025
365,2.114
366,3.009
367,4.141
368,2
369,1.985
370,2.296
371,2.302
372,2.347
373,3.206
374,6.344
375,2.113
376,1.943
377,2.163
378,6.875
379,5.826
380,6.078
381,5.758
382,2.167
383,2.192
384,2.179
385,2.207
386,2.54
387,2.683
388,5.888
389,2.264
390,2.284
391,2.203
392,2.28
393,2.086
394,4.106
395,4.682
396,2.05
397,2.552
398,2.161
399,2.485
400,2.328
401,3.427
402,2.402
403,4.281
404,8.046
405,3.885
406,2.436
407,5.993
408,2.439
409,2.398
410,6.011
411,4.988
412,2.513
413,2.361
414,2.375
415,2.216
416,2.221
417,4.089
418,6.11
