Input,Time
1,0.016
2,0.011
3,0.586
4,0.054
5,0.021
6,0.062
7,0.037
8,0.08
9,0.036
10,0.081
11,0.07
12,0.113
13,0.123
14,0.111
15,0.139
16,0.098
17,0.076
18,0.105
19,0.089
20,0.125
21,0.133
22,0.226
23,0.267
24,0.144
25,0.186
26,0.307
27,0.176
28,0.154
29,0.166
30,0.178
31,0.156
32,0.165
33,0.173
34,0.172
35,0.184
36,0.174
37,0.352
38,0.194
39,0.187
40,0.329
41,0.193
42,0.212
43,0.213
44,0.203
45,0.232
46,0.229
47,0.246
48,0.243
49,0.263
50,0.537
51,0.259
52,0.508
53,0.454
54,0.313
55,0.572
56,0.293
57,0.27
58,0.279
59,0.833
60,0.588
61,0.636
62,0.313
63,0.321
64,0.294
65,0.308
66,0.339
67,0.552
68,0.32
69,0.352
70,0.595
71,0.361
72,0.343
73,0.359
74,0.528
75,0.365
76,0.644
77,0.787
78,0.511
79,0.377
80,0.421
81,0.601
82,0.705
83,0.401
84,0.74
85,0.707
86,0.728
87,0.742
88,0.637
89,0.53
90,0.893
91,0.903
92,0.797
93,0.97
94,0.555
95,1.49
96,1.417
97,0.527
98,0.574
99,0.864
100,0.521
101,0.775
102,0.895
103,0.869
104,0.867
105,0.799
106,0.556
107,1.137
108,0.595
109,1.418
110,1.369
111,1.468
112,1.398
113,1.629
114,0.692
115,1.162
116,0.678
117,0.596
118,1.413
119,0.878
120,0.613
121,0.641
122,1.827
123,0.603
124,0.656
125,0.628
126,1.239
127,0.63
128,0.659
129,0.661
130,0.916
131,0.678
132,0.682
133,0.909
134,0.744
135,0.738
136,0.773
137,0.71
138,0.682
139,0.756
140,0.89
141,0.914
142,0.763
143,0.756
144,1.763
145,0.728
146,0.834
147,0.867
148,2.217
149,1.954
150,0.751
151,1.099
152,1.216
153,2.088
154,0.842
155,0.83
156,0.863
157,0.866
158,2.292
159,0.884
160,1.083
161,0.984
162,1.879
163,0.842
164,0.814
165,1.041
166,2.162
167,0.901
168,0.868
169,1.101
170,0.911
171,0.933
172,0.914
173,1.048
174,1.721
175,0.963
176,0.904
177,1.054
178,1.232
179,0.957
180,0.92
181,1.429
182,0.922
183,0.939
184,1.219
185,0.95
186,2.088
187,0.958
188,0.945
189,1.541
190,1.094
191,1.042
192,1.05
193,1.789
194,0.944
195,1
196,1.194
197,2.333
198,1.002
199,1.222
200,0.999
201,2.15
202,1.134
203,1.173
204,1.081
205,1.561
206,1.097
207,1.148
208,1.435
209,1.07
210,1.109
211,1.585
212,1.233
213,1.074
214,1.055
215,1.272
216,1.614
217,1.249
218,1.205
219,1.234
220,1.899
221,1.152
222,1.339
223,1.489
224,1.562
225,1.24
226,1.191
227,1.175
228,1.465
229,1.59
230,1.408
231,1.187
232,1.439
233,1.311
234,1.257
235,1.275
236,1.516
237,1.302
238,1.321
239,1.304
240,1.557
241,2.375
242,1.381
243,1.368
244,1.34
245,1.87
246,1.624
247,1.379
248,1.261
249,1.343
250,1.369
251,2.413
252,1.361
253,1.532
254,1.382
255,3.372
256,1.55
257,1.348
258,1.721
259,1.809
260,3.689
261,1.371
262,1.5
263,1.467
264,1.623
265,1.531
266,1.438
267,3.347
268,1.506
269,1.721
270,1.605
271,1.511
272,3.012
273,1.582
274,2.648
275,2.175
276,1.847
277,1.668
278,2.794
279,1.493
280,2.06
281,1.728
282,1.461
283,2.643
284,2.721
285,1.562
286,1.626
287,1.73
288,1.606
289,1.841
290,1.917
291,2.08
292,1.916
293,2.136
294,1.776
295,3.754
296,1.792
297,1.697
298,4.069
299,2.154
300,3.273
301,5.168
302,4.391
303,1.871
304,3.181
305,3.8
306,3.133
307,2.594
308,3.31
309,1.613
310,3.316
311,1.693
312,2.261
313,1.963
314,1.786
315,1.741
316,1.781
317,1.848
318,1.886
319,2.873
320,2.248
321,4.389
322,1.729
323,1.759
324,2.005
325,2.007
326,2.761
327,1.913
328,1.819
329,1.892
330,2.348
331,3.249
332,1.765
333,2.07
334,1.856
335,2.255
336,1.84
337,2.125
338,2.602
339,1.93
340,1.91
341,2.328
342,1.985
343,2.047
344,1.817
345,3.926
346,2.965
347,4.031
348,2.666
349,5.484
350,3.71
351,1.929
352,2.262
353,2.064
354,3.346
355,2.232
356,1.985
357,2.279
358,2.231
359,2.109
360,2.183
361,4.409
362,2.131
363,3.593
364,2.18
365,2.373
366,2.52
367,3.521
368,2.029
369,2.069
370,2.255
371,2.276
372,2.306
373,2.047
374,2.103
375,3.666
376,1.972
377,2.079
378,1.959
379,2.02
380,2.638
381,2.331
382,5.408
383,3.582
384,2.195
385,2.25
386,2.557
387,2.471
388,2.401
389,2.165
390,2.294
391,2.302
392,2.286
393,2.091
394,4.091
395,4.759
396,1.993
397,2.502
398,4.283
399,2.713
400,2.363
401,2.186
402,2.66
403,4.363
404,2.201
405,2.479
406,2.212
407,2.27
408,2.311
409,2.501
410,2.693
411,2.746
412,2.467
413,2.433
414,3.416
415,3.882
416,2.317
417,2.656
418,2.539
419,2.557
420,2.417
421,2.667
422,2.805
423,2.483
424,2.323
425,2.601
426,2.561
427,2.492
428,4.062
429,2.455
430,2.334
431,2.477
432,2.419
433,2.546
434,2.596
435,2.638
436,2.576
437,2.572
438,2.544
439,3.976
440,5.201
441,4.902
442,4.708
443,2.904
444,3.036
445,2.694
446,2.866
447,2.87
448,2.751
449,3.496
450,4.937
451,4.211
452,2.554
453,2.658
454,2.651
455,2.695
456,2.719
457,2.644
458,2.693
459,2.693
460,2.634
461,3.098
462,2.675
463,3.107
464,2.739
465,3.008
466,2.875
467,2.994
468,3.148
469,2.714
470,2.96
471,2.656
472,2.659
473,3.27
474,2.832
475,3.245
476,3.303
477,3.9
478,2.637
479,3.398
480,5.301
481,5.817
482,5.26
483,4.616
484,5.313
485,6.112
486,4.947
487,6.714
488,5.387
489,5.118
490,5.611
491,4.262
492,4.165
493,2.775
494,3.536
495,6.315
496,4.451
497,4.727
498,5.865
499,3.171
500,3.352
501,3.05
502,3.676
503,2.861
504,2.64
505,4.608
506,4.925
507,7.083
508,5.486
509,4.135
510,5.915
511,6.384
512,3.87
513,6.3
514,4.785
515,3.866
516,3.501
517,5.333
518,4.591
519,4.272
520,6.25
521,3.461
522,3.643
523,3.125
524,6.302
525,6.086
526,6.842
527,6.042
528,6.589
529,6.123
530,6.039
531,4.2
532,4.535
533,4.243
534,6.207
535,3.559
536,3.762
537,3.963
538,3.779
539,3.402
540,3.254
541,4.554
542,5.444
543,3.865
544,3.668
545,3.697
546,3.717
547,6.947
548,4.388
549,8.242
550,8.233
551,9.571
552,6.257
553,3.995
554,3.487
555,5.908
556,4.909
557,7.048
558,6.842
559,5.803
560,5.797
561,5.745
562,5.369
563,5.485
564,6.663
565,6.28
566,5.815
567,6.133
568,5.849
569,6.106
570,5.835
571,5.869
572,5.944
573,6.057
574,6.109
575,6.317
576,5.914
577,6.374
578,6.262
579,6.762
580,5.405
581,5.936
582,5.248
583,3.845
584,4.883
585,3.971
586,6.026
587,5.531
588,6.834
589,6.234
590,6.336
591,6.588
592,5.587
593,5.28
594,4.171
595,3.787
596,3.947
597,4.028
598,6.137
599,6.094
600,7.104
601,6.091
602,3.834
603,3.957
604,4.104
605,4.809
606,4.776
607,4.037
608,7.543
609,3.796
610,3.962
611,3.734
612,7.482
613,6.341
614,6.779
615,5.754
616,6.215
617,3.827
618,3.604
619,4.482
620,4.113
621,4.174
622,3.948
623,3.595
624,4.488
625,3.753
626,6.971
627,6.728
628,6.892
629,6.513
630,4.955
631,6.481
632,4.236
633,4.245
634,5.992
635,6.12
636,9.476
637,9.694
638,4.584
639,4.318
640,7.021
641,3.972
642,6.029
643,7.07
644,6.357
645,8.962
646,4.458
647,4.755
648,6.657
649,5.196
650,4.511
651,4.965
652,4.837
653,8.747
654,4.595
655,6.28
656,7.929
657,5.142
658,5.511
659,7.764
660,6.961
661,5.182
662,7.28
663,6.638
664,5.135
665,5.386
666,6.806
667,6.114
668,5.136
669,7.349
670,8.413
671,5.757
672,7.099
673,5.85
674,9.494
675,5.596
676,5.658
677,6.702
678,5.933
679,6.495
680,5.123
681,9.073
682,5.126
683,9.931
684,8.449
685,6.169
