Input,Time
1,0.003
2,0.003
3,0.009
4,0.011
5,0.011
6,0.014
7,0.026
8,0.021
9,0.023
10,0.04
11,0.036
12,0.039
13,0.041
14,0.064
15,0.094
16,0.068
17,0.084
18,0.065
19,0.091
20,0.09
21,0.089
22,0.084
23,0.088
24,0.105
25,0.086
26,0.091
27,0.109
28,0.166
29,0.111
30,0.118
31,0.132
32,0.231
33,0.226
34,0.116
35,0.177
36,0.139
37,0.246
38,0.168
39,0.533
40,0.183
41,0.327
42,0.189
43,0.132
44,0.137
45,0.268
46,0.17
47,0.204
48,0.25
49,0.175
50,0.204
51,0.304
52,0.217
53,0.275
54,0.218
55,0.237
56,0.228
57,0.433
58,0.266
59,0.248
60,0.352
61,0.121
62,0.316
63,0.289
64,0.184
65,0.274
66,0.242
67,0.343
68,0.333
69,0.174
70,0.325
71,0.296
72,0.255
73,0.339
74,0.353
75,0.543
76,0.326
77,0.385
78,0.311
79,0.385
80,0.595
81,0.185
82,0.185
83,0.358
84,0.303
85,0.413
86,0.429
87,0.479
88,0.506
89,0.522
90,0.477
91,0.339
92,0.422
93,0.364
94,0.463
95,0.515
96,0.454
97,0.486
98,0.476
99,0.613
100,0.769
101,0.563
102,0.588
103,0.53
104,0.37
105,0.525
106,0.469
107,1.453
108,0.546
109,0.674
110,0.531
111,0.475
112,0.323
113,0.346
114,0.586
115,0.627
116,0.665
117,0.356
118,0.432
119,0.406
120,0.663
121,0.701
122,0.707
123,0.706
124,0.786
125,0.574
126,0.659
127,0.411
128,0.698
129,1.116
130,0.856
131,1.393
132,0.805
133,0.662
134,0.487
135,0.578
136,0.638
137,0.885
138,0.781
139,1.066
140,0.468
141,0.844
142,0.711
143,0.482
144,0.666
145,0.603
146,0.81
147,0.835
148,0.866
149,0.588
150,0.843
151,0.664
152,0.932
153,0.965
154,1.06
155,0.857
156,0.983
157,0.914
158,1.029
159,0.995
160,0.5
161,0.659
162,2.724
163,0.963
164,1.06
165,0.93
166,0.998
167,0.543
168,1.067
169,1.065
170,0.881
171,1.081
172,1.14
173,1.067
174,1.074
175,0.597
176,0.573
177,0.841
178,0.946
179,0.593
180,1.1
181,0.623
182,1.137
183,0.706
184,1.188
185,1.176
186,1.174
187,36.763
188,1.366
189,1.271
190,1.041
191,1.067
192,0.751
193,0.671
194,2.285
195,0.751
196,0.705
197,1.319
198,1.337
199,1.444
200,0.734
201,1.329
202,0.707
203,1.372
204,1.335
205,0.726
206,0.734
207,1.081
208,1.387
209,1.604
210,0.76
211,1.396
212,1.133
213,0.825
214,0.796
215,1.652
216,1.517
217,0.976
218,2.752
219,4.05
220,2.153
221,1.649
222,1.545
223,2.065
224,2.961
225,1.603
226,2.172
227,1.773
228,1.94
229,1.696
230,1.342
231,1.418
232,1.927
233,1.925
234,1.004
235,1.818
236,1.923
237,1.915
238,2.484
239,1.734
240,1.969
241,1.728
242,1.948
243,4.265
244,1.804
245,3.902
246,3.692
247,1.795
248,1.471
249,5.154
250,1.798
251,2.611
252,3.221
253,2.368
254,2.359
255,1.394
256,7.196
257,3.142
258,5.642
259,4.272
260,3.46
261,3.352
262,2.127
263,11.028
264,3.411
265,2.616
266,2.805
267,7.386
268,3.028
269,2.314
270,3.56
271,3.444
272,2.664
273,2.524
274,2.111
275,1.765
276,2.554
277,2.042
278,1.753
279,2.523
280,2.615
281,2.452
282,2.953
283,1.285
284,4.54
285,1.95
286,4.901
287,1.688
288,1.426
289,6.278
290,2.856
291,3.225
292,3.531
293,2.162
294,1.999
295,2.707
296,5.071
297,5.318
298,2.402
299,8.688
300,5.392
301,3.857
302,1.909
303,3.184
304,3.523
305,2.74
306,2.04
307,3.902
308,1.496
309,3.276
310,2.626
311,2.885
312,1.824
313,1.592
314,2.817
315,2.031
316,1.616
317,4.097
318,1.911
319,1.495
320,2.14
321,2.863
322,1.816
323,4.186
324,2.741
325,1.799
326,2.368
327,2.893
328,1.62
329,4.606
330,2.943
331,2.867
332,2.783
333,1.632
334,1.637
335,2.29
336,1.646
337,2.295
338,2.995
339,2.952
340,2.815
341,1.734
342,1.856
343,3.243
344,2.94
345,1.72
346,3.961
347,1.762
348,3.661
349,2.209
350,3.149
351,5.465
352,1.759
353,1.865
354,3.946
355,2.94
356,2.27
357,3.305
358,1.874
359,4.186
360,3.346
361,2.851
362,3.309
363,2.009
364,3.705
365,3.462
366,5.242
367,3.748
368,2.807
369,6.092
370,3.499
371,4.088
372,2.985
373,4.163
374,3.001
375,2.317
376,4.23
377,2.284
378,3.773
379,2.954
380,5.865
381,5.811
382,3.502
383,5.366
384,2.246
385,4.827
386,2.095
387,3.831
