Input,Time
1,0.016
2,0.031
3,0.027
4,0.021
5,0.071
6,0.038
7,0.063
8,0.061
9,0.064
10,0.064
11,0.069
12,0.086
13,0.076
14,0.13
15,0.101
16,0.089
17,0.072
18,0.154
19,0.152
20,0.09
21,0.14
22,0.102
23,0.122
24,0.157
25,0.155
26,0.116
27,0.187
28,0.279
29,0.168
30,0.225
31,0.154
32,0.295
33,0.341
34,0.31
35,0.306
36,0.282
37,0.349
38,0.305
39,0.193
40,0.2
41,0.314
42,0.352
43,0.201
44,0.248
45,0.358
46,0.468
47,0.229
48,0.234
49,0.234
50,0.408
51,0.264
52,0.229
53,0.335
54,0.702
55,0.282
56,0.449
57,0.305
58,0.315
59,0.363
60,0.294
61,0.313
62,0.465
63,0.314
64,0.507
65,0.308
66,0.298
67,0.329
68,0.37
69,0.325
70,0.33
71,0.466
72,0.956
73,0.356
74,0.345
75,0.936
76,0.349
77,0.346
78,1.018
79,0.429
80,0.636
81,0.59
82,0.784
83,0.673
84,0.765
85,0.48
86,0.674
87,0.443
88,0.614
89,0.823
90,0.748
91,0.658
92,0.693
93,1.547
94,1.344
95,2.522
96,1.73
97,0.985
98,0.461
99,0.806
100,0.464
101,0.758
102,0.527
103,1.863
104,1.33
105,0.56
106,2.104
107,0.975
108,0.571
109,0.57
110,0.909
111,1.465
112,1.047
113,0.623
114,0.629
115,1.096
116,0.541
117,0.61
118,0.597
119,0.602
120,0.609
121,0.615
122,0.578
123,1.903
124,0.655
125,0.612
126,0.713
127,0.606
128,0.608
129,0.638
130,0.697
131,0.68
132,0.757
133,0.677
134,0.73
135,1.322
136,0.703
137,0.765
138,0.659
139,0.905
140,0.677
141,0.719
142,2.39
143,0.761
144,0.726
145,0.728
146,2.645
147,0.721
148,0.77
149,0.787
150,4.979
151,0.826
152,0.811
153,0.75
154,0.848
155,1.482
156,0.991
157,1.504
158,0.92
159,0.871
160,1.101
161,2.623
162,0.858
163,0.805
164,0.835
165,0.962
166,0.88
167,0.894
168,0.829
169,0.872
170,2.225
171,0.939
172,1.056
173,0.936
174,2.441
175,0.973
176,0.856
177,1.195
178,2.286
179,0.954
180,0.875
181,0.943
182,0.922
183,0.886
184,0.968
185,0.985
186,0.92
187,0.966
188,0.994
189,1.003
190,1.093
191,0.971
192,0.998
193,1.693
194,0.977
195,1.057
196,1.216
197,2.176
198,1.023
199,1.218
200,3.257
201,0.993
202,1.114
203,1.238
204,2.323
205,1.032
206,1.038
207,1.002
208,1.326
209,1.066
210,1.11
211,1.113
212,2.632
213,1.059
214,1.243
215,1.681
216,1.261
217,1.913
218,1.106
219,1.321
220,1.224
221,1.648
222,1.119
223,1.279
224,1.191
225,2.689
226,1.155
227,1.191
228,1.104
229,3.583
230,1.305
231,1.217
232,1.208
233,2.954
234,1.185
235,1.198
236,1.33
237,2.363
238,1.25
239,1.489
240,1.336
241,3.855
242,1.332
243,1.232
244,1.3
245,1.631
246,1.756
247,1.3
248,1.33
