Input,Time
1,0.016
2,0.024
3,0.073
4,0.062
5,0.122
6,0.721
7,0.095
8,0.108
9,0.121
10,0.128
11,0.144
12,0.189
13,0.299
14,0.125
15,0.267
16,0.22
17,0.256
18,0.2
19,0.327
20,0.259
21,0.202
22,0.333
23,0.237
24,0.306
25,0.239
26,0.243
27,0.469
28,0.396
29,0.279
30,0.406
31,0.321
32,0.319
33,0.801
34,0.47
35,0.393
36,0.807
37,0.446
38,0.594
39,0.491
40,0.595
41,0.478
42,0.774
43,0.69
44,0.52
45,0.929
46,0.548
47,0.769
48,0.668
49,0.555
50,0.579
51,0.559
52,0.597
53,0.596
54,0.644
55,1.245
56,0.893
57,0.612
58,0.635
59,1.294
60,0.652
61,0.831
62,0.683
63,0.904
64,1.328
65,0.819
66,1.168
67,0.948
68,0.801
69,0.937
70,0.936
71,0.962
72,1.457
73,0.813
74,1.55
75,1.142
76,1.032
77,1.785
78,1.037
79,0.911
80,1.498
81,0.913
82,1.526
83,0.985
84,1.014
85,1.648
86,0.973
87,1.557
88,1.103
89,1.115
90,1.27
91,1.101
92,1.081
93,1.403
94,1.071
95,1.794
96,1.175
97,1.427
98,1.347
99,1.138
100,1.103
101,1.214
102,1.2
103,2.349
104,1.223
105,1.349
106,1.286
107,1.893
108,2.238
109,3.957
110,3.054
111,3.148
112,1.756
113,1.919
114,2.446
115,1.473
116,1.71
117,2.643
118,2.547
119,1.947
120,1.873
121,3.316
122,1.635
123,1.978
124,2.417
125,1.428
126,1.785
127,2.498
128,1.705
129,2.04
130,2.574
131,4.264
132,2.892
133,3.095
134,5.011
135,2.022
136,1.646
137,1.951
138,2.03
139,2.75
140,2.225
141,4.123
142,3.266
143,2.364
144,3.743
145,1.862
146,4.012
147,3.711
148,1.746
149,1.944
150,2.921
151,1.737
152,2.974
153,1.789
154,3.915
155,1.78
156,1.804
157,2.133
158,1.837
159,3.293
160,1.854
161,1.87
162,1.871
163,2.999
164,1.871
165,1.944
166,1.939
167,2.032
168,3.308
169,1.964
170,1.99
171,2.738
172,3.447
173,2.479
174,2.227
175,2.168
176,2.236
177,2.701
178,2.029
179,2.882
180,3.715
181,2.136
182,2.155
183,2.144
184,2.705
185,2.147
186,2.246
187,3.831
188,2.123
189,2.24
190,2.197
191,3.486
192,2.185
193,2.402
194,2.26
195,2.925
196,2.301
197,2.756
198,2.833
199,2.441
200,2.388
201,2.312
202,4.035
203,2.37
204,2.484
205,3.976
206,2.485
207,2.437
208,2.319
209,2.377
210,2.429
211,2.966
212,4.644
213,2.457
214,2.371
215,2.397
216,4.688
217,2.556
218,2.695
219,2.501
220,2.753
221,4.298
222,3.001
223,2.628
224,2.776
225,2.627
226,2.875
227,4.132
228,4.194
229,2.542
230,4.485
231,2.704
232,2.698
233,2.753
234,2.693
235,2.702
236,2.697
237,2.744
238,4.419
239,2.786
240,2.672
241,2.766
242,2.806
243,2.856
244,4.968
245,2.843
246,2.87
247,4.91
248,3.144
249,3.588
250,2.936
251,3.086
252,3.059
253,4.803
254,5.02
255,3.092
256,3.652
257,3.099
258,3.234
259,3.174
260,3.129
261,3.194
262,3.261
263,5.506
264,3.458
265,3.463
266,3.33
267,3.489
268,4.858
269,3.293
270,3.487
271,3.276
272,3.343
273,3.33
274,3.477
275,3.382
276,4.073
277,4.601
278,3.855
279,3.768
280,3.633
281,5.658
282,4.902
283,3.958
284,4.08
285,6.114
286,7.012
287,4.274
288,3.978
289,5.173
290,4.988
291,3.985
292,4.035
293,3.795
294,5.118
295,5.638
296,5.075
297,5.728
298,6.834
299,6.315
300,6.248
301,7.372
302,4.803
303,3.916
