Input,Time
1,0.019
2,0.019
3,0.031
4,0.09
5,0.092
6,0.053
7,0.117
8,0.088
9,0.132
10,0.108
11,0.095
12,0.154
13,0.194
14,0.181
15,0.212
16,0.191
17,0.316
18,0.198
19,0.309
20,0.416
21,0.186
22,0.188
23,0.213
24,0.231
25,0.366
26,0.264
27,0.302
28,0.567
29,0.269
30,0.282
31,0.371
32,0.343
33,0.43
34,0.389
35,0.54
36,0.721
37,0.607
38,0.445
39,0.613
40,0.503
41,0.47
42,0.466
43,0.447
44,0.53
45,1.052
46,0.768
47,1.001
48,0.923
49,0.56
50,0.735
51,0.782
52,0.786
53,0.591
54,0.646
55,0.688
56,0.589
57,0.905
58,0.625
59,0.679
60,0.98
61,0.614
62,0.684
63,0.925
64,0.658
65,0.717
66,1.039
67,1.947
68,0.718
69,1.096
70,1.277
71,0.867
72,0.947
73,0.914
74,0.838
75,1.039
76,0.804
77,0.875
78,1.197
79,0.905
80,1.239
81,1.26
82,0.824
83,1.031
84,0.914
85,1.574
86,0.938
87,0.978
88,1.234
89,1.074
90,1.01
91,1.036
92,1.184
93,1.406
94,1.227
95,1.112
96,1.161
97,1.526
98,1.191
99,2.589
100,3.246
101,3.321
102,2.123
103,1.77
104,1.398
105,1.325
106,3.768
107,1.405
108,2.053
109,3.055
110,2.326
111,3.556
112,2.069
113,1.283
114,1.366
115,1.738
116,1.312
117,2.164
118,1.448
119,3.852
120,2.882
121,2.342
122,3.34
123,1.627
124,1.32
125,6.091
126,2.172
127,3.256
128,2.521
129,1.47
130,2.081
131,1.469
132,1.507
133,1.534
134,2.72
135,1.611
136,1.528
137,1.511
138,1.575
139,3.54
140,1.663
141,1.697
142,1.599
143,1.555
144,1.618
145,1.644
146,1.626
147,1.598
148,2.096
149,1.702
150,1.64
151,1.705
152,1.759
153,2.143
154,1.757
155,1.752
156,2.974
157,1.848
158,1.896
159,1.982
160,1.836
161,3.233
162,2.403
163,1.801
164,1.98
165,1.913
166,2.283
167,1.856
168,2.371
169,1.864
170,1.939
171,4.095
172,1.966
173,1.929
174,3.261
175,1.96
176,1.966
177,3.431
178,1.976
179,2.038
180,2.213
181,2.209
182,2.069
183,3.089
184,2.209
185,2.043
186,2.101
187,3.245
188,2.195
189,2.662
190,2.191
191,3.449
192,2.242
193,2.794
194,2.229
195,2.809
196,2.241
197,3.912
198,2.233
199,2.552
200,2.302
201,2.271
202,2.397
203,4.349
204,4.4
205,2.376
206,2.354
207,2.278
208,2.862
209,2.402
210,4.097
211,2.505
212,3.9
213,2.559
214,2.593
215,4.689
216,4.029
217,2.368
218,3.01
219,2.717
220,4.235
221,4.031
222,2.706
223,2.579
224,2.556
225,2.426
226,2.438
227,3.288
228,2.664
229,2.751
230,3.52
231,2.839
232,2.689
233,2.71
234,2.609
235,2.855
236,3.897
237,2.716
238,3.078
239,2.96
240,4.017
241,2.768
242,3.161
243,2.772
244,2.652
245,3.311
246,2.668
247,2.737
248,2.937
249,2.831
250,2.672
251,2.973
252,3.38
253,4.837
254,4.777
255,3.209
256,3.723
257,3.282
258,3.275
259,3.333
260,5.222
261,4.034
262,3.195
263,3.208
264,3.032
265,3.185
266,4.597
267,6.173
268,4.031
269,3.288
270,3.162
271,3.11
272,3.258
273,3.929
274,4.928
275,3.16
276,3.089
277,3.309
278,5.442
279,3.383
280,3.305
281,3.397
282,5.811
283,3.414
284,3.455
285,3.612
286,3.217
287,3.32
288,3.347
289,4.106
290,5.465
291,5.44
292,4.644
293,3.469
294,3.482
295,3.579
296,3.59
297,3.544
298,3.759
299,4.904
300,5.14
301,5.26
302,3.817
303,5.861
304,5.221
305,5.696
306,6.051
307,5.646
308,4.566
309,6.008
310,8.43
311,6.494
312,10.108
313,7.511
314,6.571
315,4.152
316,3.877
317,3.816
318,3.987
319,5.429
320,5.465
321,3.984
322,3.859
323,3.866
324,3.991
325,4.153
326,3.964
327,3.854
328,3.969
329,3.941
330,3.719
331,4.02
332,4.056
333,4.3
334,4.501
335,4.402
336,5.57
337,6.189
338,6.163
339,6.883
340,5.865
341,4.171
342,6.321
343,4.085
344,4.278
345,4.682
346,4.333
347,9.761
348,5.763
349,4.757
350,6.447
351,4.795
352,4.399
353,5.507
354,5.058
355,4.357
356,4.334
357,4.328
358,4.201
359,4.154
360,4.283
361,4.211
362,4.494
363,4.4
364,4.207
365,4.103
366,4.001
367,5.03
368,7.097
369,5.494
370,5.972
371,4.601
372,4.334
373,4.807
374,4.679
375,4.59
376,6.396
377,7.652
378,9.881
379,4.862
380,4.551
381,4.716
382,4.597
383,4.545
384,4.772
385,4.851
386,4.781
387,5.49
388,6.326
389,6.289
390,6.242
391,6.66
392,6.104
393,5.997
394,5.502
395,6.553
396,6.867
397,6.587
398,7.11
399,7.172
400,4.757
401,5.331
402,4.797
403,5.056
404,4.838
405,4.509
406,5.772
407,6.619
408,6.819
409,7.768
410,5.647
411,4.773
412,4.411
413,4.84
414,4.703
415,6.101
416,7.596
417,7.246
418,4.876
419,5.168
420,5.267
421,6.649
422,7.461
423,7.085
424,6.433
425,5.16
426,6.719
427,8.457
428,7.608
429,5.343
430,6.448
431,6.171
432,6.597
433,7.796
434,7.438
435,5.359
436,5.625
437,5.388
438,5.487
439,5.013
440,6.275
441,7.928
442,6.641
443,5.248
444,5.042
445,5.104
446,6.768
447,7.655
448,6.554
449,5.221
450,5.685
451,5.092
452,6.548
453,7.834
454,6.282
455,5.644
456,5.006
457,5.202
458,5.179
459,6.327
460,7.698
461,7.721
462,5.876
463,5.145
464,6.822
465,7.812
466,5.416
467,5.873
468,5.446
469,7.738
470,9.169
471,8.531
472,8.649
473,6.278
474,6.183
475,5.602
476,7.422
477,7.811
478,8.139
479,5.982
480,6.198
481,5.953
482,6.177
483,5.928
484,6.134
485,7.008
486,7.23
487,7.995
488,8.919
489,6.135
490,5.771
491,5.71
492,8.018
493,7.721
494,7.279
495,10.274
496,6.323
497,8.713
498,11.066
499,6.321
500,5.916
501,7.298
502,8.612
503,8.042
504,5.919
505,5.681
506,5.72
507,8.858
508,7.596
509,8.345
510,7.543
511,5.532
512,6.132
513,7.614
514,9.059
515,6.73
516,6.743
517,7.773
518,8.757
519,9.995
520,7.781
521,9.123
522,6.671
523,6.487
524,8.069
525,8.702
526,9.118
527,12.696
528,13.315
529,8.536
530,11.393
531,9.377
532,7.719
533,8.834
534,5.993
535,7.875
536,8.953
537,7.033
538,6.428
539,9.671
540,6.525
541,6.4
542,8.877
543,8.69
544,6.701
545,9.128
546,8.823
547,7.679
548,6.434
549,7.92
550,10.598
551,7.677
552,8.669
553,6.662
554,6.476
555,8.624
556,8.959
557,7.588
558,6.651
559,9.625
560,9.682
561,7.276
562,8.252
563,8.985
564,8.825
565,6.299
566,8.837
567,9.428
568,8.348
569,7.065
570,8.839
571,8.751
572,6.728
573,7.995
574,9.019
575,7.819
576,8.898
577,8.223
578,9.205
579,8.843
580,7.136
581,8.848
582,9.64
583,8.969
584,7.171
585,9.113
586,9.282
587,8.687
588,7.199
589,8.315
590,9.328
591,7.228
592,6.56
593,8.378
594,9.603
595,7.084
596,8.631
597,9.282
598,7.243
599,10.058
600,10.103
601,6.877
602,10.019
603,9.032
604,7.68
605,7.609
606,9.483
607,9.769
608,7.474
609,9.874
610,9.711
611,6.988
612,9.333
613,13.094
614,12.384
615,9.757
616,9.749
617,7.701
618,9.244
619,9.389
620,9.391
621,8.065
622,9.333
623,9.809
624,9.005
625,7.15
626,7.22
627,9.862
628,10.539
629,10.684
630,10.284
631,7.596
632,9.78
633,9.858
634,9.174
635,7.185
636,9.465
637,9.431
638,7.184
639,10.049
640,10.05
641,10.055
642,7.341
643,9.806
644,8.772
645,11.361
646,10.685
647,7.916
648,9.575
649,8.295
650,11.311
651,11.188
652,7.927
653,13.188
654,21.703
655,15.156
656,11.285
657,10.462
658,7.905
659,9.841
660,10.409
661,7.925
662,9.961
663,9.941
664,8.789
665,9.013
666,10.326
667,8.041
668,10.24
669,11.244
670,8.729
671,8.387
672,13.351
673,9.645
674,10.781
675,8.571
676,10.659
677,9.043
678,10.942
679,10.41
680,10.598
681,13.624
682,17.724
683,10.368
684,11.663
685,10.811
686,10.304
687,8.621
688,10.292
689,10.83
690,8.765
691,10.896
692,10.232
693,11.272
694,12.057
695,13.492
696,10.337
697,10.031
698,14.532
699,9.15
700,10.485
701,9.182
702,10.721
703,9.444
704,11.32
705,11.027
706,11.686
707,10.533
708,11.18
709,11.609
710,11.698
711,10.804
712,9.847
713,10.901
714,8.659
715,10.687
716,8.528
717,11.638
718,10.794
719,8.507
720,11.083
721,8.336
722,10.735
723,10.638
724,12.773
725,12.089
726,12.723
727,10.671
728,13.323
729,12.163
730,11.276
731,11.539
732,8.622
733,13.675
734,12.356
735,12.29
736,11.347
737,11.317
738,11.817
739,10.71
740,13.459
741,9.857
742,11.383
743,11.077
744,8.972
745,11.482
746,8.537
747,11.236
748,9.858
749,11.554
750,9.423
751,13.56
752,11.175
753,11.231
754,11.977
755,10.992
756,11.244
757,10.597
758,11.579
759,8.925
760,11.242
761,9.312
762,11.743
763,10.281
764,11.613
765,11.313
766,10.651
767,10.998
768,9.214
769,11.783
770,9.403
771,12.332
772,11.636
773,12.177
774,8.717
775,11.479
776,10.31
777,11.483
778,14.81
779,10.181
780,11.871
781,11.139
782,11.609
783,9.814
784,11.974
785,9.756
786,11.597
787,10.141
788,11.711
789,10.85
790,11.578
791,10.34
792,13.667
793,9.792
794,13.595
795,17.282
796,13.941
797,12.72
798,11.644
799,12.053
800,10.65
801,11.529
802,11.536
803,10.215
804,11.879
805,12.453
806,12.208
807,11.007
808,11.962
809,11.985
810,14.435
811,9.481
812,12.168
813,11.347
814,12.624
815,16.49
816,14.53
817,13.164
818,15.854
819,19.273
820,21.291
821,18.691
822,18.243
823,15.84
824,13.636
825,14.981
826,12.283
827,12.56
828,13.804
829,10.679
830,14.957
831,14.403
832,11.462
833,14.705
834,15.738
835,11.95
836,11.623
837,11.804
838,12.514
839,11.844
840,12.542
841,11.29
842,15.74
843,15.77
844,11.971
845,11.906
846,12.214
847,11.958
848,13.219
849,11.549
850,12.347
851,12.637
852,12.037
853,12.488
854,10.505
855,11.888
856,13.077
857,13.065
858,12.787
859,10.138
860,12.282
861,13.163
862,12.12
863,12.622
864,10.463
865,12.951
866,13.854
867,12.296
868,12.613
869,10.888
870,13.077
871,13.42
872,10.057
873,12.569
874,10.112
875,12.771
876,13.218
877,13.143
878,11.009
879,12.846
880,12.567
881,13.632
882,13.013
883,10.286
884,12.732
885,11.143
886,12.919
887,12.29
888,12.204
889,12.933
890,10.157
891,13.15
892,13.266
893,12.496
894,12.599
895,13.192
896,12.639
897,12.923
898,12.868
899,12.833
900,13.083
901,13.959
902,11.388
903,13.155
904,11.56
905,12.805
906,14.375
907,11.336
908,12.556
909,12.822
910,11.144
911,13.295
912,14.275
913,12.644
914,13.383
915,13.597
916,12.059
917,14.086
918,13.166
919,13.815
920,18.252
921,22.771
922,20.184
923,15.015
924,16.713
925,12.893
926,13.371
927,13.557
928,11.06
929,13.621
930,12.825
931,13.826
932,13.574
933,14.086
934,12.429
935,13.792
936,13.829
937,16.835
938,11.155
939,13.961
940,13.646
941,13.227
942,20.486
943,14.35
944,17.403
945,21.337
946,15.259
947,14.488
948,13.793
949,13.742
950,14.315
951,13.58
952,13.746
953,13.783
954,14.57
955,10.935
956,14.186
957,14.125
958,11.693
959,14.44
960,13.837
961,13.483
962,12.712
963,14.001
964,13.602
965,14.225
966,14.389
967,14.138
968,16.389
969,14.462
970,13.471
971,15.555
972,14.307
973,14.814
974,12.381
975,14.264
976,16.776
977,14.366
978,14.108
979,11.908
980,14.133
981,14.422
982,12.137
983,14.212
984,13.973
985,12.735
986,13.549
987,13.981
988,14.748
989,13.65
990,14.287
991,13.952
992,11.806
993,13.907
994,14.106
995,12.949
996,15.008
997,14.619
998,15.223
999,15.306
1000,14.958
1001,14.24
1002,14.503
1003,14.345
1004,15.236
1005,12.903
1006,15.121
1007,14.917
1008,14.754
1009,13.815
1010,15.311
1011,14.924
1012,14.807
1013,15.081
1014,11.897
1015,15.641
1016,40.322
1017,15.64
1018,16.122
1019,14.807
1020,13.707
1021,14.966
1022,14.686
1023,15.95
1024,16.909
1025,13.929
1026,15.886
1027,15.351
1028,16.657
1029,14.821
1030,16.282
1031,15.3
1032,16.295
1033,14.804
1034,17.036
1035,15.715
1036,15.376
1037,16.35
1038,17.26
1039,25.369
1040,24.082
1041,17.285
1042,16.104
1043,15.605
1044,15.179
1045,14.984
1046,14.872
1047,15.494
1048,15.748
1049,18.414
1050,17.41
1051,15.551
1052,15.573
1053,15.604
1054,16.339
1055,15.894
1056,15.961
1057,16.717
1058,23.179
1059,17.244
1060,27.489
1061,23.725
1062,17.571
1063,16.761
1064,14.097
1065,16.407
1066,15.545
1067,15.654
1068,15.564
1069,15.481
1070,17.07
1071,15.468
1072,15.69
1073,16.012
1074,15.382
1075,16.642
1076,16.132
1077,16.316
1078,15.717
1079,16.204
1080,15.784
1081,15.707
1082,16.451
1083,16.142
1084,14.779
1085,15.741
1086,16.288
1087,15.672
1088,15.65
1089,15.359
1090,15.671
1091,15.963
1092,15.491
1093,15.767
1094,15.881
1095,15.766
1096,16.167
1097,16.878
1098,15.821
1099,16.032
1100,15.481
1101,15.145
1102,17.049
1103,15.291
1104,16.641
1105,15.877
1106,15.662
1107,15.232
1108,16.156
1109,15.742
1110,16.839
1111,16.161
1112,17.68
1113,16.297
1114,15.896
1115,16.929
1116,17.034
1117,15.296
1118,16.39
1119,16.109
1120,15.74
1121,15.843
1122,15.846
1123,15.635
1124,17.128
1125,16.806
1126,16.004
1127,16.564
1128,15.316
1129,16.594
1130,16.021
1131,16.3
1132,16.461
1133,15.898
1134,17.253
1135,17.04
1136,16.181
1137,16.175
1138,17.361
1139,16.618
1140,16.677
1141,15.877
1142,16.768
1143,17.066
1144,17.353
1145,18.032
1146,16.807
1147,15.794
1148,17.226
1149,16.795
1150,35.481
1151,17.525
1152,17.848
1153,16.867
1154,17.256
1155,17.355
1156,17.668
1157,17.386
1158,16.648
1159,17.839
1160,17.984
1161,18.809
1162,18.117
1163,18.26
1164,17.144
1165,20.295
1166,24.236
1167,19.174
1168,20.927
1169,34.725
1170,17.443
1171,18.509
1172,18.086
1173,17.283
1174,18.259
1175,17.654
1176,17.774
1177,19.283
1178,17.389
1179,18.866
1180,17.115
1181,18.542
1182,18.534
1183,18.113
1184,18.29
1185,16.536
1186,17.011
1187,17.393
1188,17.358
1189,17.1
1190,17.462
1191,18.099
1192,17.386
1193,18.223
1194,18.288
1195,18.539
1196,18.743
1197,18.516
1198,18.213
1199,22.122
1200,21.343
1201,18.166
1202,18.901
1203,18.577
1204,18.548
1205,19.549
1206,21.245
1207,19.123
1208,22.448
1209,18.995
1210,19.323
1211,19.478
1212,20.593
1213,21.399
1214,19.701
1215,19.393
1216,19.871
1217,21.134
1218,20.23
1219,20.304
1220,19.307
1221,19.591
1222,20.53
1223,19.974
1224,20.494
1225,21.357
1226,19.937
1227,20.398
1228,19.971
