Input,Time
1,0.022
2,0.037
3,0.038
4,0.052
5,0.107
6,0.083
7,0.086
8,0.157
9,0.13
10,0.15
11,0.143
12,0.117
13,0.18
14,0.392
15,0.204
16,0.155
17,0.28
18,0.192
19,0.247
20,0.273
21,0.256
22,0.285
23,0.361
24,0.306
25,0.249
26,0.663
27,0.262
28,0.349
29,0.484
30,0.432
31,0.384
32,0.628
33,0.39
34,0.493
35,0.474
36,0.736
37,0.43
38,0.438
39,0.446
40,0.844
41,0.447
42,0.621
43,0.615
44,1.113
45,0.777
46,0.717
47,0.533
48,0.526
49,0.556
50,0.572
51,1.101
52,0.571
53,0.623
54,0.634
55,0.963
56,0.64
57,0.964
58,0.664
59,0.683
60,0.673
61,0.685
62,1.212
63,0.689
64,0.716
65,1.462
66,0.778
67,0.798
68,1.417
69,0.895
70,0.79
71,1.322
72,1.761
73,0.847
74,0.855
75,0.883
76,0.886
77,0.888
78,1.807
79,0.935
80,0.917
81,0.944
82,0.947
83,0.963
84,0.984
85,1.072
86,1.185
87,1.096
88,1.032
89,1.582
90,2.151
91,1.045
92,1.125
93,1.336
94,1.106
95,1.134
96,1.147
97,1.802
98,1.337
99,1.762
100,1.754
101,1.429
102,3.89
103,1.895
104,4.393
105,2.075
106,1.293
107,1.71
108,2.134
109,3.105
110,1.571
111,1.284
112,1.937
113,3.08
114,4.818
115,3.424
116,6.616
117,3.295
118,1.258
119,5.232
120,1.323
121,1.686
122,1.692
123,1.85
124,1.801
125,1.383
126,1.397
127,2.159
128,2.142
129,1.848
130,2.498
131,1.484
132,2.246
133,1.882
134,1.516
135,1.607
136,4.017
137,1.531
138,1.58
139,1.667
140,1.661
141,1.618
142,1.612
143,3.733
144,1.665
145,1.637
146,1.607
147,4.784
148,1.653
149,2.231
150,1.81
151,1.72
152,2.127
153,1.888
154,2.219
155,1.759
156,3.936
157,1.825
158,1.77
159,1.811
160,3.309
161,1.75
162,1.895
163,1.835
164,3.392
165,1.897
166,1.85
167,1.909
168,4.402
169,1.944
170,1.913
171,1.942
172,1.923
173,5.116
174,1.956
175,1.946
176,1.986
177,2.043
178,2.894
179,2.104
180,2.091
181,2.04
182,2.055
183,3.683
184,2.062
185,2.349
186,2.176
187,2.183
188,3.978
189,2.071
190,2.12
191,2.571
192,2.173
193,3.569
194,2.205
195,2.173
196,2.173
197,2.202
198,3.477
199,4.246
200,2.291
201,2.609
202,2.613
203,2.257
204,2.932
205,3.392
206,3.293
207,5.449
208,2.304
209,2.652
210,2.415
211,2.408
212,5.088
213,2.379
214,2.348
215,2.387
216,3.677
217,5.169
218,4.27
219,2.868
220,2.512
221,5.558
222,2.48
223,2.491
224,2.483
225,2.705
226,5.132
227,2.528
228,2.671
229,2.583
230,2.861
231,4.439
232,2.617
233,2.647
234,2.621
235,4.516
236,3.454
237,2.661
238,2.711
239,2.689
240,3.243
241,5.04
242,2.812
243,2.957
244,2.893
245,2.764
246,2.742
247,2.936
248,2.944
249,3.105
250,3.561
251,6.248
252,4.36
253,2.925
254,2.845
255,5.846
256,5.216
257,3.052
258,3.045
259,3.11
260,2.997
261,3.043
262,3.117
263,3.152
264,3.084
265,3.093
266,3.165
267,6.094
268,5.299
269,3.313
270,3.32
271,3.967
272,6.902
273,4.812
274,6.12
275,4.457
276,3.242
277,3.465
278,3.267
279,3.292
280,3.308
281,3.298
282,3.564
283,3.959
284,4.836
285,4.231
286,5.147
287,4.255
288,3.57
289,3.538
290,4.501
291,5.666
292,3.453
293,3.472
294,3.551
295,3.443
296,3.726
297,3.567
298,3.546
299,3.502
300,3.623
301,3.559
302,5.369
303,4.993
304,5.478
305,5.103
306,3.79
307,3.834
308,4.052
309,3.733
310,3.855
311,3.713
312,3.787
313,5.325
314,4.9
315,3.583
316,3.717
317,3.664
318,3.68
319,3.763
320,3.786
321,4.585
322,5.58
323,7.595
324,7.093
325,8.488
326,5.762
327,3.811
328,5.638
329,4.447
330,6.001
331,6.949
332,6.125
333,5.796
334,3.991
335,3.975
336,3.817
337,4.038
338,4.074
339,3.998
340,4.107
341,3.958
342,4.02
343,4.378
344,4.135
345,4.057
346,4.099
347,4.208
348,4.542
349,4.455
350,5.689
351,5.982
352,6.221
353,6.514
354,5.419
355,4.976
356,5.391
357,4.436
358,4.333
359,4.214
360,4.289
361,4.332
362,4.29
363,4.27
364,4.334
365,4.308
366,4.393
367,4.314
368,4.167
369,4.287
370,4.155
371,4.188
372,4.51
373,4.271
374,4.35
375,4.452
376,4.177
377,4.336
378,4.264
379,4.541
380,4.341
381,4.334
382,4.417
383,4.309
384,4.459
385,4.496
386,4.509
387,4.449
388,4.368
389,4.395
390,4.339
391,4.546
392,4.374
393,4.439
394,4.61
395,4.352
396,4.449
397,4.526
398,4.475
399,4.664
400,5.626
401,6.468
402,6.84
