Input,Time
1,0.018
2,0.019
3,0.034
4,0.032
5,0.05
6,0.064
7,0.11
8,0.083
9,0.094
10,0.087
11,0.095
12,0.112
13,0.155
14,0.226
15,0.213
16,0.206
17,0.187
18,0.189
19,0.644
20,0.189
21,0.279
22,0.237
23,0.269
24,0.23
25,0.361
26,0.227
27,0.233
28,0.271
29,0.265
30,0.334
31,0.417
32,0.317
33,0.364
34,0.394
35,0.393
36,0.436
37,0.398
38,0.444
39,0.539
40,0.702
41,0.657
42,0.474
43,0.574
44,0.46
45,0.49
46,0.66
47,0.581
48,0.671
49,0.59
50,0.954
51,0.957
52,0.861
53,0.893
54,0.597
55,1.19
56,0.602
57,0.695
58,0.678
59,0.824
60,0.623
61,0.633
62,0.652
63,0.966
64,1.049
65,0.726
66,1.095
67,0.862
68,0.758
69,0.779
70,0.723
71,0.8
72,0.812
73,0.843
74,2.456
75,0.913
76,0.905
77,1.516
78,1.398
79,1.265
80,1.12
81,0.977
82,1.052
83,0.931
84,1.165
85,1.412
86,0.93
87,0.971
88,0.962
89,1.555
90,1.678
91,0.987
92,1.206
93,1.014
94,1.756
95,1.038
96,1.056
97,1.983
98,1.576
99,1.107
100,1.505
101,1.193
102,1.892
103,2.358
104,1.146
105,1.816
106,1.99
107,2.094
108,2.039
109,2.215
110,2.564
111,2.269
112,2.502
113,3.645
114,2.214
115,3.624
116,1.604
117,2.783
118,2.173
119,3
120,2.723
121,2.546
122,3.678
123,2.159
124,3.305
125,2.798
126,2.824
127,1.839
128,2.025
129,4.077
130,1.814
131,1.658
132,1.769
133,2.047
134,2.768
135,2.009
136,1.813
137,1.776
138,3.455
139,1.882
140,2.112
141,2.198
142,1.821
143,3.636
144,2.128
145,1.773
146,1.708
147,1.769
148,2.276
149,1.747
150,1.875
151,1.821
152,2.125
153,2.013
154,1.946
155,1.95
156,2.724
157,1.948
158,2.954
159,5.376
160,1.991
161,4.564
162,1.827
163,2.067
164,3.098
165,2.201
166,2.745
167,1.919
168,2.106
169,1.961
170,3.183
171,1.932
172,3.564
173,2.116
174,3.446
175,2.756
176,2.532
177,2.019
178,2.067
179,2.976
180,3.369
181,2.06
182,2.942
183,3.906
184,2.059
185,2.084
186,2.564
187,3.388
188,2.105
189,2.638
190,2.254
191,3.903
192,2.168
193,2.529
194,2.417
195,3.625
196,3.258
197,2.323
198,2.979
199,2.664
200,2.275
201,2.553
202,2.528
203,3.46
204,2.307
205,2.793
206,2.596
207,5.096
208,2.746
209,2.541
210,2.525
211,2.901
212,3.302
213,2.425
214,2.381
215,2.657
216,4.685
217,3.942
218,2.709
219,2.74
220,4.523
221,3.715
222,2.414
223,2.768
224,2.802
225,3.136
226,2.5
227,2.798
228,2.815
229,4.022
230,2.673
231,3.148
232,2.964
233,4.875
234,2.577
235,2.669
236,2.881
237,2.667
238,3.339
239,4.928
240,3.098
241,4.173
242,2.738
243,2.758
244,3.273
245,3.121
246,3.754
247,3.286
248,3.377
249,2.667
250,3.096
251,3.162
252,3.245
253,5.598
254,3.093
255,3.896
256,5.895
257,4.611
258,3.257
259,3.544
260,5.66
261,3.544
262,3.741
263,3.986
264,3.546
265,3.544
266,4.631
267,3.038
268,3.39
269,3.203
270,4.534
271,3.609
272,3.38
273,3.529
274,3.615
275,3.74
276,3.54
277,3.89
278,4.597
279,3.426
280,4.936
281,4.223
282,4.542
283,4.563
284,4.962
285,4.239
286,3.821
287,3.716
288,3.576
289,3.806
290,3.95
291,4.388
292,3.849
293,4.435
294,4.181
295,3.965
296,3.946
297,5.41
298,5.937
299,8.736
300,7.843
301,4.907
302,8.353
303,4.539
304,6.978
305,3.819
306,3.878
307,4.244
308,4.079
309,3.994
310,4.09
311,4.02
312,4.068
313,4.763
314,4.065
315,4.565
316,6.247
317,6.79
318,5.697
319,6.175
320,5.818
321,5.447
322,6.102
323,6.713
324,6.754
325,4.368
326,4.296
327,5.035
328,4.275
329,6.76
330,5.969
331,6.934
332,4.532
333,5.732
334,7.434
335,5.776
336,4.787
337,5.152
338,9.274
339,9.336
340,5.559
341,6.467
342,8.222
343,4.563
344,3.993
345,4.337
346,4.406
347,4.759
348,4.83
349,6.105
350,4.401
351,5.392
352,6.658
353,6.17
354,6.206
355,6.419
356,6.17
357,6.058
358,6.158
359,6.49
360,7.076
361,5.981
362,7.544
363,6.932
364,7.148
365,6.42
366,5.675
367,4.841
368,4.716
369,4.725
370,4.53
371,4.607
372,5.004
373,4.682
374,4.847
375,6.295
376,6.49
377,6.616
378,6.624
379,6.673
380,7.867
381,5.646
382,4.745
383,7.756
384,7.96
385,5.161
386,5.056
387,7.424
388,8.604
389,5.405
390,6.965
391,6.329
392,5.257
393,5.572
394,7.597
395,8.286
396,8.185
397,6.015
398,5.333
399,5.233
400,4.844
401,7.398
402,7.398
403,7.056
404,8.173
405,7.449
406,9.558
407,5.737
408,9.753
409,4.857
410,10.111
411,5.626
412,5.4
413,4.986
414,5.484
415,5.853
416,5.51
417,7.628
418,7.911
419,5.241
420,5.063
421,7.403
422,5.583
423,5.288
424,6.848
425,7.22
426,9.305
427,5.789
428,5.082
429,5.133
430,5.162
431,8.636
432,7.737
433,7.466
434,6.097
435,5.523
436,6.676
437,8.087
438,7.429
439,5.966
440,5.529
441,5.93
442,6.447
443,7.683
444,7.172
445,6.59
446,6.839
447,6.998
448,7.555
449,7.673
450,7.348
451,5.744
452,5.366
453,7.707
454,7.714
455,9.051
456,6.329
457,5.988
458,5.819
459,5.829
460,6.893
461,7.686
462,8.212
463,6.558
464,7.383
465,7.758
466,8.492
467,5.596
468,8.486
469,10.351
470,6.795
471,8.153
472,7.234
473,7.582
474,7.01
475,7.517
476,9.751
477,11.37
478,14.57
479,12.976
480,9.191
481,6.788
482,10.582
483,7.75
484,8.431
485,5.899
486,5.988
487,6.043
488,9.573
489,9.204
490,6.635
491,6.982
492,9.287
493,8.727
494,6.283
495,7.614
496,8.466
497,7.283
498,6.42
499,6.464
500,8.026
501,8.274
502,8.398
503,7.709
504,8.088
505,8.382
506,6.523
507,6.254
508,9.354
509,9.836
510,7.607
511,9.237
512,13.273
513,10.495
514,7.074
515,8.431
516,9.312
517,7.661
518,9.145
519,9.29
520,6.626
521,6.712
522,15.571
523,11.385
524,8.259
525,8.197
526,8.062
527,6.922
528,6.533
529,8.393
530,11.04
531,8.471
532,9.303
533,8.906
534,11.405
535,6.741
536,9.464
537,8.791
538,7.624
539,6.799
540,6.415
541,6.742
542,8.655
543,9.292
544,8.055
545,6.834
546,9.579
547,9.091
548,9.236
549,6.866
550,9.324
551,8.999
552,12.61
553,6.865
554,8.179
555,8.773
556,7.65
557,6.601
558,8.521
559,8.873
560,10.372
561,7.156
562,8.153
563,8.62
564,8.524
565,10.496
566,7.057
567,8.266
568,8.941
569,9.422
570,6.787
571,7.129
572,8.863
573,9.337
574,9.486
575,7.531
576,10.866
577,8.829
578,9.267
579,10.189
580,7.055
581,9.519
582,9.624
583,8.839
584,7.208
585,9.314
586,9.167
587,8.547
588,7.453
589,8.576
590,11.626
591,7.109
592,10.055
593,9.825
594,9.313
595,8.05
596,11.242
597,7.416
598,10.306
599,8.593
