Input,Time
1,0.021
2,0.026
3,0.052
4,0.091
5,0.039
6,0.072
7,0.078
8,0.089
9,0.113
10,0.313
11,0.119
12,0.135
13,0.258
14,0.142
15,0.138
16,0.185
17,0.375
18,0.351
19,0.187
20,0.212
21,0.345
22,0.314
23,0.322
24,0.269
25,0.241
26,0.285
27,0.476
28,0.415
29,0.285
30,0.294
31,0.373
32,0.365
33,0.566
34,0.473
35,0.386
36,0.453
37,0.463
38,0.724
39,0.549
40,1.167
41,0.428
42,0.593
43,1.313
44,0.486
45,0.988
46,1.279
47,0.514
48,0.561
49,0.583
50,0.581
51,0.597
52,0.584
53,1.175
54,3.081
55,0.611
56,0.614
57,0.809
58,1.373
59,0.864
60,0.731
61,0.749
62,0.927
63,0.851
64,0.744
65,0.745
66,0.837
67,0.965
68,1.961
69,1.553
70,1.739
71,0.844
72,1.016
73,0.881
74,0.889
75,1.455
76,1.304
77,0.902
78,1.395
79,1.09
80,1.02
81,1.462
82,1.481
83,1.076
84,1.032
85,1.256
86,1.016
87,1.163
88,1.839
89,1.102
90,1.671
91,1.458
92,1.445
93,1.573
94,2.076
95,3.411
96,1.112
97,2.211
98,5.396
99,6.513
100,1.677
101,1.261
102,3.457
103,1.452
104,1.481
105,1.793
106,4.854
107,4.131
108,3.837
109,1.436
110,2.94
111,2.77
112,3.479
113,2.244
114,2.386
115,2.611
116,2.794
117,3.023
118,2.291
119,1.497
120,1.375
121,1.502
122,1.71
123,1.786
124,2.873
125,3.055
126,1.449
127,2.003
128,2.148
129,1.866
130,1.718
131,1.614
132,1.58
133,2.247
134,1.654
135,1.88
136,1.683
137,1.995
138,1.972
139,1.78
140,1.932
141,1.976
142,1.696
143,3.363
144,1.907
145,1.868
146,2.886
147,1.751
148,2.26
149,2.058
150,1.785
151,2.114
152,1.794
153,2.018
154,2.006
155,3.547
156,1.904
157,2.073
158,3.189
159,1.894
160,1.881
161,2.343
162,2.243
163,3.68
164,1.896
165,2.065
166,1.946
167,2.599
168,2.037
169,2.075
170,2.012
171,3.033
172,3.527
173,3.811
174,2.36
175,4.243
176,4.263
177,4.644
178,3.322
179,3.128
180,2.471
181,2.681
182,2.46
183,2.186
184,3.385
185,4.479
186,3.741
187,4.369
188,4.823
189,5.902
190,4.589
191,5.403
192,2.515
193,2.307
194,4.266
195,7.001
196,4.15
197,2.594
198,4.259
199,7.472
200,7.937
201,10.356
202,25.091
203,2.735
204,6.193
205,2.933
206,4.267
207,3.526
208,3.599
209,4.667
210,6.76
211,3.142
212,2.473
213,6.432
214,5.117
215,6.214
216,9.313
217,4.146
218,5.553
219,6.213
220,2.954
221,7.005
222,5.723
223,3.092
224,4.854
225,5.188
226,4.926
227,5.257
228,6.336
229,3.233
230,6.61
231,4.782
232,2.883
233,2.991
234,2.824
235,4.233
236,5.456
237,8.1
238,12.598
239,10.505
240,7.157
241,4.41
242,9.992
243,6.201
244,6.098
245,7.066
246,3.233
247,3.784
248,7.618
249,6.685
250,3.621
251,4.464
252,5.186
253,8.347
254,5.945
255,4.028
256,7.203
257,3.418
258,3.235
259,6.577
260,5.998
261,3.673
262,3.764
263,7.478
264,5.948
265,3.791
266,8.139
267,4.805
268,3.433
269,5.597
270,5.226
271,3.754
272,3.496
273,6.421
274,7.609
275,3.67
276,3.681
277,8.915
278,8.479
279,3.73
280,5.471
281,4.977
282,5.311
283,7.18
284,8.757
285,3.944
286,6.795
287,7.433
288,3.583
289,9.089
290,5.675
291,6.713
292,7.5
293,7.405
294,6.505
295,4.005
296,7.398
297,5.886
298,7.183
299,13.942
300,8.072
301,5.655
302,4.831
303,6.499
304,4.682
305,7.899
306,8.13
307,5.46
308,7.492
309,6.696
310,5.025
311,6.158
312,6.264
313,6.131
314,8.878
315,5.422
316,7.159
317,7.455
318,11.706
319,10.524
320,25.033
321,12.973
322,9.031
323,6.813
324,8.899
325,10.741
326,8.811
327,12.904
328,9.639
329,6.779
330,11.284
331,15.484
332,11.242
333,8.483
